nome,prob_fem
olivia,0.9960655737704918
graziela,0.9969877305120858
micheli,0.9909511115458925
dilma,0.9962344949793266
karla,0.9968283859457853
elena,0.9972818632951796
maura,0.9952922321831021
cristiana,0.9937179326742586
carine,0.9954933407185478
diva,0.9949183394852606
vanusa,0.9974253084531457
leda,0.9977703741670938
geane,0.989494301994302
rayane,0.9951353150523594
estela,0.9970212875227897
ivanete,0.9969841474416806
taiane,0.9959304571796523
virginia,0.997429973261338
carmelita,0.9974546115685307
keli,0.9942385549673
samira,0.9955036206310616
helen,0.9938866682341876
milene,0.9961166067539555
emanuele,0.9880855743800571
dayane,0.996261731799141
giovanna,0.9956995566002458
meire,0.996762368554839
zenaide,0.9927733333333333
anita,0.9972135144548938
stefani,0.9898825847333529
isaura,0.9972369762326305
neli,0.9794997625455121
adelia,0.9967757667714316
domingas,0.994963171577123
laiane,0.9962769715745421
marines,0.9969523809523809
vanderleia,0.9950300382304752
isabella,0.9972249697768986
natali,0.9905513531226958
quiteria,0.9973557361245008
sarah,0.9969912774649442
aurea,0.9974822233904214
bernadete,0.9948082074507746
danielle,0.9950544565458991
ivanilda,0.9962902011101503
irani,0.9015755000885113
leonice,0.993348365276212
ane,0.9954497922731255
francieli,0.9944531361115062
shirley,0.992518845114493
izabela,0.9969399719735751
magda,0.9969821515822148
edileuza,0.9971799372679923
rosemeire,0.9977710878249291
marizete,0.996815747575626
joselia,0.9951020171574311
leandra,0.9907729805013927
mirela,0.9963915862352216
eliza,0.9964749096510457
suely,0.9971107735382599
cibele,0.9963098523940958
fabricia,0.9928988764044944
doralice,0.9968087668593449
luci,0.9893562950339343
soraia,0.9975572242830001
socorro,0.9904925233926046
alda,0.9968382330587054
gilmara,0.9938994631527575
zenilda,0.997487822064275
marcilene,0.9955049995413264
michelle,0.9952126680169397
angelita,0.9976132911784762
dulce,0.9971148476763666
jaine,0.9712461040151561
adelaide,0.985425000775266
emilly,0.9961054053205188
celma,0.9971381847914963
ilma,0.9965638988714457
rosalia,0.9978837650031586
claudineia,0.996861825213174
manoela,0.9917135808716554
emile,0.9925843055777529
elvira,0.9974618473895582
ione,0.9840506812683051
nara,0.9963445799501828
talia,0.9946686484215969
gislene,0.9959708864049909
lucelia,0.997555490368632
laila,0.9962472262106774
vanilda,0.9971546310832025
jucilene,0.9962301262088182
gilda,0.9966403162055336
matilde,0.9953088866864883
juraci,0.5461290850564678
marluce,0.99558945448516
jaciara,0.9967606198236708
evelyn,0.993310480247612
gleice,0.9900222835667011
neiva,0.9954851008327481
estefane,0.9898289258678761
laisa,0.9962480387475271
romilda,0.9960994970404078
samanta,0.9963991769547325
rosimere,0.9971111187536541
olinda,0.9959117768311118
janice,0.9966588591898594
marineide,0.9972956105679218
ieda,0.9979489675311132
beatris,0.9958249251965764
edvania,0.99575489752601
lavinia,0.9964112748684715
jurema,0.9971725774923206
raisa,0.9952515624454453
francilene,0.9947302296363509
elane,0.9944368636506771
ludimila,0.9966222159670666
ilza,0.9978841949361732
marilza,0.997559595387989
adelina,0.9961748246794645
graciele,0.9959843638948117
josefina,0.9956065152164595
shirlei,0.9917122137677277
dalila,0.9963471971066907
leia,0.9969709134703113
ivanilde,0.9890245675243494
naiane,0.9957511268750462
noemi,0.9917956367704643
noeli,0.9798598303209148
carolaine,0.9951377633711507
natalina,0.995621484920545
jennifer,0.9919418609029634
alcione,0.774912974216768
cleidiane,0.9948907614290616
albertina,0.9956773446545735
taisa,0.9961685823754789
yara,0.9967013349891338
mari,0.9833416306054455
magali,0.997470718705008
karoline,0.9963314209889552
kely,0.9946073607557567
larisa,0.995542406311637
wilma,0.9938882536177596
edivania,0.9940247714771873
nazare,0.9674705768859734
